/* zRe VAC2 */
RM_2ff2e74f-b56e-4857-a0e4-d66228d42fa9 = "We've also included a handy rapid test in your kit! *Lacy holds up an empty syringe*",
RM_2d2799c3-9cf3-4e07-aafb-387db872a6d8 = "Carefully draw a sample from the subject, and then dip a test strip. *She demonstrates.* Black means negative, red means positive.",
RM_fee75b91-d79d-481e-8b0b-0d9616d604fc = "If positive, wait until symptoms get close to terminal, and then administer the CairnsVax to ensure maximum effectiveness!",

/* Ambient */
RM_43c4d5e2-d1b4-4e5d-95ed-5834183b6880 = "*Lacy demonstrates how to administer the vaccine with a syringe.*",

/* Aurora */
RM_6ec420ec-bcf1-4975-a966-2fea46127a83 = "Make sure to always give the full dose, or it may not be effective. And we don't want the virus developing resistance...",

/* kERHUS */
RM_63c8605f-650d-44ea-8168-618a3cc1775f = "That's right, Lacy. We wish we had more doses to distrubute, but we're working on it. How many are we up to today?",

/* Ассистент-Заражён */
RM_bc3daa1b-8470-45e2-a0f1-a255ec55922d = "*From off-screen, a male voice.* Two thousand, four hundred, and seventeen doses, ma'am!",

/* Ambient */
RM_33236a40-233b-4077-a6e9-84bb77262e64 = "*Dr. Taylor nods gravely, looking at the camera.*",

/* kERHUS */
RM_dc474326-cf01-49c2-a76b-1cb21417cae4 = "Keep in mind, the CairnsVax is useless in late terminal stages - over 85% infection...",
RM_61a092ff-ffd6-4230-96ee-695851119b1a = "Full zombification will remain irreversible... it is impossible for a vaccination to reverse it beyond that point.",
RM_e4700f77-d3f6-4890-bb7e-9a2f80a861df = "After injection of the CairnsVax 1 or 2, the infection will weaken back to 5%, and albumin will further prolong it.",
RM_26d1061f-fef4-48d9-8c4f-31f525a2d495 = "Once your infection reaches near-terminal stages again, take albumin.",
RM_e10102b9-a44d-4ba1-9897-3b7667cb2b5b = "It will help you to fight the early symptoms and prolongs the vaccine's effect.",
RM_752ae987-38d1-45df-951e-b6d3feb15170 = "But its effectiveness will fade after about 7 doses.",
RM_4b27c74a-1c33-44fb-ad58-12522a42f899 = "From that point, you will need to take another dose of the vaccine and begin the process again.",
RM_68da2188-3e15-4ba9-9522-a6e072063d02 = "In the meantime keep fighting, and look for help or resources to follow our guides for synthesizing the CairnsVax yourself.",

/* Aurora */
RM_c9e8c910-6e77-4ef0-b602-5444474184ed = "We can't yet make enough to go around, so we have included instructions in this package for making your own doses.",
RM_36907018-214d-4218-b8da-afd8b593c2a9 = "You will need to find or build lab equipment, and gather reagents such as Hydrochloric Acid and Ammonia.",
RM_7b29341d-544a-4960-9577-5eae7ad4875f = "Search hospitals and warehouses. We were able to find what we needed over time, and I know you can too!",
RM_526bbad4-205c-42ef-af0b-997367be30ce = "You will also need tissue samples from recently-deceased zeds. Take these using tweezers and keep them sealed.",
RM_727cf331-9413-41b7-a15f-39bfce7bfb3b = "And don't get rid of those blood samples you take for testing, you'll need them too!",

/* kERHUS */
RM_9795fb28-f9d7-43f4-9838-ff993c17c6de = "That's right, Lacy. When you are infected, your blood contains some of the virus cells that we need for the CairnsVax.",
RM_c64fb280-3d80-4b21-ba62-8896e3e9b05c = "We have provided you a formulation with all the exact measurements and ratios used in the CairnsVax.",
RM_42fb5ab8-bd2e-44ec-84b3-af86054eef53 = "The instructions are as simple as we could make them, but it would certainly help to find some relevant textbooks out there...",

/* Aurora */
RM_582d3088-b576-423a-8a51-b7c86132c0df = "That's all we have time for, Dr. Taylor. I know it may seem overwhelming, but you just need to take it step by step. You can do this.",

/* Ambient */
RM_d242977e-8294-42ca-b529-e2cf22bd378d = "*The scene abruptly vanishes.*",
RM_cddfc677-3305-4cf4-b5ea-4b028bc53f51 = "*A blue title card appears, with the seal of the United States and a message that reads: 'PROPERTY OF THE US GOVERNMENT.'",
RM_b04b3a3a-63d4-48cb-9478-699b427f7e90 = "'DESTRUCTION OR MODIFICATION OF THIS MATERIAL, OR ANY DISRUPTION OF ITS DISTRIBUTION IS PUNISHABLE BY DEATH.",
